CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;MEDV
0.00632;18;2310;0;0.538;65750;65.2;40900;1;296;15.3;396.9;4.98;24
0.02731;0;7070;0;0.469;64210;78.9;49671;2;242;17.8;396.9;9.14;21.6
0.02729;0;7070;0;0.469;71850;61.1;49671;2;242;17.8;392.83;4.03;34.7
0.03237;0;2180;0;0.458;69980;45.8;60622;3;222;18.7;394.63;2.94;33.4
0.06905;0;2180;0;0.458;71470;54.2;60622;3;222;18.7;396.9;5.33;36.2
0.02985;0;2180;0;0.458;64300;58.7;60622;3;222;18.7;394.12;5.21;28.7
0.08829;12.5;7870;0;0.524;60120;66.6;55605;5;311;15.2;395.6;12.43;22.9
0.14455;12.5;7870;0;0.524;61720;96.1;59505;5;311;15.2;396.9;19.15;27.1
0.21124;12.5;7870;0;0.524;56310;100;60821;5;311;15.2;386.63;29.93;16.5
0.17004;12.5;7870;0;0.524;60040;85.9;65921;5;311;15.2;386.71;17.1;18.9
0.22489;12.5;7870;0;0.524;63770;94.3;63467;5;311;15.2;392.52;20.45;15
0.11747;12.5;7870;0;0.524;60090;82.9;62267;5;311;15.2;396.9;13.27;18.9
0.09378;12.5;7870;0;0.524;58890;39;54509;5;311;15.2;390.5;15.71;21.7
0.62976;0;8140;0;0.538;59490;61.8;47075;4;307;21;396.9;8.26;20.4
0.63796;0;8140;0;0.538;60960;84.5;44619;4;307;21;380.02;10.26;18.2
0.62739;0;8140;0;0.538;58340;56.5;44986;4;307;21;395.62;8.47;19.9
105393;0;8140;0;0.538;59350;29.3;44986;4;307;21;386.85;6.58;23.1
0.7842;0;8140;0;0.538;59900;81.7;42579;4;307;21;386.75;14.67;17.5
0.80271;0;8140;0;0.538;54560;36.6;37965;4;307;21;288.99;11.69;20.2
0.7258;0;8140;0;0.538;57270;69.5;37965;4;307;21;390.95;11.28;18.2
125179;0;8140;0;0.538;55700;98.1;37979;4;307;21;376.57;21.02;13.6
0.85204;0;8140;0;0.538;59650;89.2;40123;4;307;21;392.53;13.83;19.6
123247;0;8140;0;0.538;61420;91.7;39769;4;307;21;396.9;18.72;15.2
0.98843;0;8140;0;0.538;58130;100;40952;4;307;21;394.54;19.88;14.5
0.75026;0;8140;0;0.538;59240;94.1;43996;4;307;21;394.33;16.3;15.6
0.84054;0;8140;0;0.538;55990;85.7;44546;4;307;21;303.42;16.51;13.9
0.67191;0;8140;0;0.538;58130;90.3;46820;4;307;21;376.88;14.81;16.6
0.95577;0;8140;0;0.538;60470;88.8;44534;4;307;21;306.38;17.28;14.8
0.77299;0;8140;0;0.538;64950;94.4;44547;4;307;21;387.94;12.8;18.4
100245;0;8140;0;0.538;66740;87.3;42390;4;307;21;380.23;11.98;21
